,0
list details page,"129 ""best of"" book lists"
Marcel Proust,In Search of Lost Time 
James Joyce,Ulysses
Miguel de Cervantes,Don Quixote
Gabriel Garcia Marquez,One Hundred Years of Solitude 
F. Scott Fitzgerald,The Great Gatsby 
Herman Melville,Moby Dick
Leo Tolstoy,War and Peace
William Shakespeare,Hamlet
Homer,The Odyssey
Gustave Flaubert,Madame Bovary
Dante Alighieri,The Divine Comedy 
Vladimir Nabokov,Lolita 
Fyodor Dostoyevsky,The Brothers Karamazov 
Fyodor Dostoyevsky,Crime and Punishment 
Emily Brontë,Wuthering Heights
J. D. Salinger,The Catcher in the Rye
Jane Austen,Pride and Prejudice
Mark Twain,The Adventures of Huckleberry Finn
Leo Tolstoy,Anna Karenina
Lewis Carroll,Alice's Adventures in Wonderland 
Homer,The Iliad
Virginia Woolf,To the Lighthouse 
Joseph Heller,Catch-22 
Joseph Conrad,Heart of Darkness
William Faulkner,The Sound and the Fury
George Orwell,Nineteen Eighty Four
Charles Dickens,Great Expectations
India/Iran/Iraq/Egypt,One Thousand and One Nights
John Steinbeck,The Grapes of Wrath 
William Faulkner,"Absalom, Absalom!"
Ralph Ellison,Invisible Man 
Harper Lee,To Kill a Mockingbird 
Franz Kafka,The Trial
Stendhal,The Red and the Black
George Eliot,Middlemarch
Jonathan Swift,Gulliver's Travels
Toni Morrison,Beloved
Virginia Woolf,Mrs. Dalloway 
Anton Chekhov,The Stories of Anton Chekhov
Albert Camus,The Stranger 
Charlotte Bronte,Jane Eyre
Virgil,The Aeneid
Jorge Luis Borges,Collected Fiction
Ernest Hemingway,The Sun Also Rises 
Charles Dickens,David Copperfield
Laurence Sterne,Tristram Shandy
Walt Whitman,Leaves of Grass
Thomas Mann,The Magic Mountain
James Joyce,A Portrait of the Artist as a Young Man 
Salman Rushdie,Midnight's Children 
na,na
list details page,"129 ""best of"" book lists"
Sophocles,Oedipus the King
Voltaire,Candide
J. R. R. Tolkien,The Lord of the Rings
Fyodor Dostoyevsky,The Idiot
Victor Hugo,Les Misérables
E. M. Forster,A Passage to India 
Ernest Hemingway,The Old Man and the Sea
Chinua Achebe,Things Fall Apart 
Jane Austen,Emma
Ernest Hemingway,For Whom the Bell Tolls
Franz Kafka,The Complete Stories of Franz Kafka
Franz Kafka,The Metamorphosis
Henry James,The Portrait of a Lady 
Mary Shelley,Frankenstein 
Vladimir Nabokov,Pale Fire 
Sophocles,Antigone
William Faulkner,As I Lay Dying
Alice Walker,The Color Purple
Fyodor Dostoyevsky,The Possessed
Margaret Mitchell,Gone With the Wind 
William Golding,Lord of the Flies 
Aldous Huxley,Brave New World
Edgar Allan Poe,The Complete Tales and Poems of Edgar Allan Poe
Edith Wharton,The Age of Innocence
Nikolai Gogol,Dead Souls
Jack Kerouac,On the Road
Ford Madox Ford,The Good Soldier
George Orwell,Animal Farm
Virginia Woolf,Orlando: A Biography
Geoffrey Chaucer,The Canterbury Tales
William Makepeace Thackeray,Vanity Fair
Malcolm Lowry,Under the Volcano 
T. S. Eliot,The Waste Land
Ernest Hemingway,A Farewell to Arms
Louis-Ferdinand Céline,Journey to the End of The Night
Franz Kafka,The Castle
Gustave Flaubert,A Sentimental Education
Nathaniel Hawthorne,The Scarlet Letter
Kurt Vonnegut,Slaughterhouse-Five 
Margaret Atwood,The Handmaid's Tale
E. B. White,Charlotte's Web
Richard Wright,Native Son 
Stendhal,The Charterhouse of Parma
John Milton,Paradise Lost
Francois Rabelais,Gargantua and Pantagruel
Emily Dickinson,Poems of Emily Dickinson
Johann Wolfgang von Goethe,Faust
Daphne du Maurier,Rebecca
Charles Baudelaire,The Flowers of Evil
Giovanni Boccaccio,Decameron
na,na
list details page,"129 ""best of"" book lists"
Thomas Hardy,Tess of the d'Urbervilles
Samuel Beckett,Waiting for Godot
Daniel Defoe,Robinson Crusoe
Zora Neale Hurston,Their Eyes Were Watching God 
Henry Fielding,Tom Jones
William Shakespeare,King Lear
Anthony Burgess,A Clockwork Orange
Mikhail Bulgakov,The Master and Margarita
Honoré de Balzac,Father Goriot
Günter Grass,The Tin Drum
D. H. Lawrence,Sons and Lovers
Antoine de Saint-Exupéry,The Little Prince
Ivan Turgenev,Fathers and Sons
Aeschylus,Oresteia
Jean Rhys,Wide Sargasso Sea
Charles Dickens,Bleak House
Arthur Rimbaud,A Season in Hell
E. M. Forster,Howards End
Louisa May Alcott,Little Women
Hans Christian Anderson,Fairy Tales and Stories
Flannery O'Connor,The Complete Stories of Flannery O'Connor
John Updike,"Rabbit, Run "
Joseph Conrad,Lord Jim
John Kennedy Toole,A Confederacy of Dunces
Ian McEwan,Atonement
Honoré de Balzac,Cousin Bette
Zadie Smith,White Teeth 
Murasaki Shikibu,The Tale of Genji
Doris Lessing,The Golden Notebook
Hunter S. Thompson,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
Robert Louis Stevenson,Treasure Island
Robert Penn Warren,All the King's Men
Robert Musil,The Man Without Qualities
Thomas Mann,Doctor Faustus
Alexandre Dumas,The Count of Monte Cristo
Unknown,Epic of Gilgamesh
Ernest Hemingway,Stories of Ernest Hemingway
Joseph Conrad,Nostromo
Raymond Chandler,The Big Sleep
William Shakespeare,The Tempest
Pierre Choderlos de Laclos,Dangerous Liaison
Erich Maria Remarque,All Quiet on the Western Front
Gabriel Garcia Marquez,Love in the Time of Cholera
Thomas Mann,Buddenbrooks
Willa Cather,My Antonia
Cormac McCarthy,Blood Meridian
Jonathan Franzen,The Corrections
Jack London,The Call of the Wild
F. Scott Fitzgerald,Tender Is the Night
Kenneth Grahame,The Wind in the Willows
na,na
list details page,"129 ""best of"" book lists"
John Irving,A Prayer for Owen Meany 
Ken Kesey,One Flew Over the Cuckoo's Nest 
John Updike,Rabbit Is Rich
Ovid,Metamorphoses
W. B. Yeats,Collected Poems of W. B. Yeats
Junot Diaz,The Brief Wondrous Life of Oscar Wao
C. S. Lewis,"The Lion, The Witch and the Wardrobe "
Sophocles,Oedipus at Colonus
Walker Percy,The Moviegoer
Euripides,Medea
William Shakespeare,Macbeth
Honoré de Balzac,Lost Illusions
Juan Rulfo,Pedro Paramo
Muriel Spark,The Prime of Miss Jean Brodie 
Betty Smith,A Tree Grows in Brooklyn
Boris Pasternak,Doctor Zhivago
Henry James,The Ambassadors
Kazuo Ishiguro,The Remains of the Day
W. G. Sebald,Austerlitz 
Italo Svevo,Confessions of Zeno
Bram Stoker,Dracula
D. H. Lawrence,Women in Love
John Steinbeck,Of Mice and Men
Arthur Conan Doyle,The Complete Sherlock Holmes
Virginia Woolf,The Waves
John Updike,Rabbit Redux
Arthur Conan Doyle,The Hound of the Baskervilles
Giuseppe Tomasi di Lampedusa,The Leopard
Roberto Bolaño,2666
Honoré de Balzac,Eugenie Grandet
E. M. Forster,A Room With a View
Iris Murdoch,"The Sea, The Sea"
Tom Wolfe,Bonfire of the Vanities
Isabel Allende,The House of the Spirits
Jules Verne,Twenty Thousand Leagues Under the Sea
Madame de La Fayette,The Princess of Cleves
Haruki Murakami,The Wind-Up Bird Chronicle
Albert Camus,The Plague
Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde
Charles Dickens,The Pickwick Papers
John Cheever,The Stories of John Cheever
Ray Bradbury,Fahrenheit 451
J. R. R. Tolkien,The Hobbit
Thomas Hardy,Jude the Obscure
John Dos Passos,Nineteen Nineteen
John Dos Passos,The 42nd Parallel
John Dos Passos,The Big Money
Halldor Laxness,Independent People
Edith Wharton,The House of Mirth
John Irving,The World According to Garp
na,na
list details page,"129 ""best of"" book lists"
Plato,The Republic
Stephen King,The Stand
Samuel Richardson,Clarissa
Jaroslav Hašek,The Good Soldier Svejk
Sophocles,Electra
Oscar Wilde,The Picture of Dorian Gray
Douglas Adams,The Hitchhiker's Guide to the Galaxy
Wallace Stevens,Collected Poems
J. K Rowling,Harry Potter And The Philosopher's Stone
Philip Roth,American Pastoral
Clarín,La Regenta
Ayn Rand,Atlas Shrugged
Robert A. Heinlein,Stranger in a Strange Land
A. A Milne,Winnie the Pooh
Rudyard Kipling,Kim
Henrik Ibsen,A Doll's House
John Updike,Rabbit at Rest
Knut Hamsun,Hunger
Marguerite Yourcenar,Memoirs of Hadrian
Frank Herbert,Dune
Alfred Döblin,Berlin Alexanderplatz
Alexandre Dumas,The Three Musketeers
Fernando Pessoa,The Book of Disquiet
Cormac McCarthy,The Road
Italo Calvino,If on a Winter's Night a Traveller 
Raymond Chandler,The Long Goodbye: A Novel
Lucretius,De Rerum Natura
Theodore Dreiser,An American Tragedy
Michael Chabon,The Amazing Adventures of Kavalier and Clay
Kingsley Amis,Lucky Jim 
Charles Dickens,A Tale of Two Cities
William Faulkner,Light in August 
Anthony Powell,A Dance to the Music of Time
Upton Sinclair,The Jungle
Saul Bellow,Herzog 
Robert Frost,The Poems of Robert Frost
H. G. Wells,The Time Machine
Ford Madox Ford,Parade's End
Toni Morrison,Song of Solomon
Philip Roth,Portnoy's Complaint 
V. S. Naipaul,A House for Mr. Biswas 
Thomas Pynchon,Gravity's Rainbow 
James Joyce,Dubliners
Graham Greene,Brighton Rock
Jeffrey Eugenides,Middlesex
Hermann Hesse,Steppenwolf
J M Coetzee,Disgrace
J. D. Salinger,Nine Stories
Lewis Carroll,Through the Looking Glass
Graham Greene,The End of the Affair
na,na
list details page,"129 ""best of"" book lists"
Friedrich Nietzsche,Thus Spake Zarathustra
George Eliot,The Mill on the Floss
Edith Wharton,Ethan Frome
E. Annie Proulx,The Shipping News
Aeschylus,Prometheus Bound
Milan Kundera,The Unbearable Lightness of Being
Kazuo Ishiguro,Never Let Me Go 
Arthur C. Clarke,2001: A Space Odyssey
Saul Bellow,Henderson The Rain King
Jane Austen,Persuasion
Sylvia Plath,The Bell Jar
Carson McCullers,The Heart Is A Lonely Hunter
Don DeLillo,White Noise 
Samuel Beckett,Molloy
Ayn Rand,The Fountainhead
Hermann Hesse,Siddhartha
Al-Tayyib Salih,Season of Migration to the North
Julian Barnes,The Sense of an Ending
Alan Hollinghurst,The Line of Beauty
Robert Graves,"I, Claudius "
Aeschylus,Seven Against Thebes
Aeschylus,The Persians
Aeschylus,The Suppliants
Evelyn Waugh,Brideshead Revisited
W. Somerset Maugham,Of Human Bondage 
Samuel Beckett,Malone Dies
Saul Bellow,The Adventures of Augie March
David Mitchell,Cloud Atlas
Christina Stead,The Man Who Loved Children 
Alan Paton,"Cry, the Beloved Country"
Astrid Lindgren,Pippi Longstocking
Hilary Mantel,Wolf Hall
Alice Munro,Selected Stories of Alice Munro
Dashiell Hammett,The Maltese Falcon
Giacomo Leopardi,Complete Poems of Giacomo Leopardi
Daniel Defoe,Moll Flanders
Sophocles,Philoctetes
Sophocles,Ajax
Sophocles,Women of Trachis
Michael Shaara,The Killer Angels
A. S. Byatt,Possession 
Stephen Crane,The Red Badge of Courage
Barbara Kingsolver,The Poisonwood Bible
Edgar Rice Burroughs,Tarzan of the Apes
Hermann Broch,Death of Virgil
André Gide,The Counterfeiters
D. H. Lawrence,Lady Chatterley's Lover
Marilynne Robinson,Gilead
Robert Musil,The Confusions of Young Törless
Nikos Kazantzakis,Zorba the Greek
na,na
list details page,"129 ""best of"" book lists"
Denis Diderot,Jacques the Fatalist and His Master
Sinclair Lewis,Main Street
William Maxwell,"So Long, See You Tomorrow"
H. G. Wells,War of the Worlds
Pearl S. Buck,The Good Earth
T. H. White,The Once and Future King
Charles Dickens,Our Mutual Friend
Saul Bellow,Humboldt's Gift
Donna Tartt,The Secret History
Edward P. Jones,The Known World
Arundhati Roy,The God of Small Things
Cormac McCarthy,All the Pretty Horses
Arthur Koestler,Darkness at Noon
Guy de Maupassant,Stories of Guy de Maupassant
John Galsworthy,The Man of Property
John Galsworthy,In Chancery
John Galsworthy,Awakening
John Galsworthy,Indian Summer of a Forsyte
John Galsworthy,To Let
Henry Roth,Call It Sleep
James Baldwin,Go Tell it on the Mountain 
William S. Burroughs,Naked Lunch
C. S. Lewis,Prince Caspian: The Return to Narnia
C. S. Lewis,The Voyage of the Dawn Treader: The Chronicles of Narnia
C. S. Lewis,The Silver Chair: The Chronicles of Narnia
C. S. Lewis,The Magician's Nephew
C. S. Lewis,The Horse and His Boy: The Chronicles of Narnia
C. S. Lewis,The Last Battle: The Chronicles of Narnia
Aristophanes,Lysistrata
Richard Adams,Watership Down
Henry Miller,Tropic of Cancer 
David Foster Wallace,Infinite Jest 
Evelyn Waugh,A Handful of Dust 
Thomas Keneally,Schindler's List
William Blake,The Complete Poetry and Prose of William Blake
Jean Paul Sartre,Nausea
Mario Vargas Llosa,The War of the End of the World
Gustave Flaubert,Bouvard et Pécuchet
James Joyce,Finnegans Wake
Madeleine L'Engle,A Wrinkle In Time
Wilkie Collins,The Woman in White
Maurice Sendak,Where the Wild Things Are
Herman Melville,Bartleby the Scrivener
Umberto Eco,The Name of the Rose
Henry Green,Loving
Comte de Lautréamont,Maldoror (Les Chants de Maldoror)
Chimamanda Ngozi Adichie,Half of a Yellow Sun
